Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Julio Jones ,203.5,0.25,3.475,13.9,0.05,4.475,66.325,14.82122905,0.375,4.725,69.8,14.77248677,0.425,0.634615385,10.38461538,16.36363636,0.153846154,6,87.15384615,14.52564103,0.538461538,6.615384615,97.53846154,14.74418605,0.692307692
Marquise Brown ,146.4,0.12,0,0,0,5.28,96.52,18.28030303,0.68,5.4,96.52,17.87407407,0.68,0.176666667,0,0,0,6.25,109.8333333,17.57333333,0.833333333,6.416666667,109.8333333,17.11688312,0.833333333
T.Y. Hilton,181,1.38,9.96,7.217391304,0.14,4.58,70.62,15.41921397,0.48,5.96,80.58,13.52013423,0.62,1.567692308,9.538461538,6.084396467,0.076923077,5.538461538,79.84615385,14.41666667,0.538461538,7,89.38461538,12.76923077,0.615384615
Mike Williams ,20.5,0,0,0,0,4.657894737,71.76315789,15.40677966,0.552631579,4.657894737,71.76315789,15.40677966,0.552631579,0,0,0,0,6.533333333,90.73333333,13.8877551,0.733333333,6.533333333,90.73333333,13.8877551,0.733333333
Darius Slayton,170,0,0,0,0,2.724137931,55.34482759,20.3164557,0.379310345,2.724137931,55.34482759,20.3164557,0.379310345,0,0,0,0,3.181818182,60.90909091,19.14285714,0.454545455,3.181818182,60.90909091,19.14285714,0.454545455
Damien Harris ,1.2,8.833333333,56.85185185,6.4360587,0.425925926,0.962962963,7.537037037,7.826923077,0.037037037,9.796296296,64.38888889,6.572778828,0.462962963,10,58.4,5.84,0.6,1.530864198,13.6,8.883870968,0,11.46666667,72,6.279069767,0.6
Frank Gore,106.9,12.42857143,70.53571429,5.675287356,0.607142857,0.821428571,8.035714286,9.782608696,0,13.25,78.57142857,5.929919137,0.607142857,16.41666667,78.75,4.796954315,0.666666667,0.901785714,8.833333333,9.795379538,0,17.25,87.58333333,5.077294686,0.666666667
Tim Patrick,62.2,0,0,0,0,3.388888889,49.33333333,14.55737705,0.277777778,3.388888889,49.33333333,14.55737705,0.277777778,0,0,0,0,4.5,71.1,15.8,0.5,4.5,71.1,15.8,0.5
Jamaal Williams,142.8,16.88372093,90.72093023,5.373278237,0.813953488,1.395348837,13.18604651,9.45,0.023255814,18.27906977,103.9069767,5.684478372,0.837209302,23.4,137.5,5.876068376,1.2,0.839534884,8,9.529085873,0,24.1,145.5,6.037344398,1.2
Jakobi Meyers,61.9,0.322580645,-0.258064516,-0.8,0,5.419354839,62.32258065,11.5,0.290322581,5.741935484,62.06451613,10.80898876,0.290322581,0.27688172,-0.75,-2.708737864,0,7.666666667,87.25,11.38043478,0.333333333,7.916666667,86.5,10.92631579,0.333333333
Emmanuel Sanders ,77.6,0.191489362,0.85106383,4.444444444,0,6.063829787,80.65957447,13.30175439,0.723404255,6.255319149,81.5106383,13.03061224,0.723404255,0.091653028,0.461538462,5.035714286,0,7.538461538,103,13.66326531,0.538461538,7.615384615,103.4615385,13.58585859,0.538461538
T.J. Hockenson ,80.7,0.043478261,0.173913043,4,0.043478261,3.173913043,46.95652174,14.79452055,0.391304348,3.217391304,47.13043478,14.64864865,0.434782609,0.080267559,0.307692308,3.833333333,0.076923077,3.769230769,58.46153846,15.51020408,0.461538462,3.846153846,58.76923077,15.28,0.538461538
Jamison Crowder,131.6,0.403846154,2.596153846,6.428571429,0.019230769,5.442307692,70.01923077,12.86572438,0.442307692,5.846153846,72.61538462,12.42105263,0.461538462,0.184911243,0.692307692,3.744,0,6.538461538,80.30769231,12.28235294,0.461538462,6.692307692,81,12.10344828,0.461538462
DJ Chark,31.4,1,10.56,10.56,0.16,2.64,54.04,20.46969697,0.24,3.64,64.6,17.74725275,0.4,1,4.846153846,4.846153846,0.076923077,3.076923077,67.23076923,21.85,0.230769231,4,72.07692308,18.01923077,0.307692308
